a.	900	in	soa	b.c.d.a. e.f.g. 1738013954 1800 300 604800 1800
dv.a.	3600	in	ns	v.r.s.
dw.a.	3600	in	ns	j.k.l.m.
dw.a.	3600	in	ns	n.k.l.m.
dw.a.	3600	in	ns	o.k.l.m.
dw.a.	3600	in	ns	p.k.l.m.
dw.a.	3600	in	ns	q.r.s.
dw.a.	3600	in	ns	t.r.s.
dw.a.	3600	in	ns	u.r.s.
dw.a.	3600	in	ns	v.r.s.
dx.a.	3600	in	ns	j.k.l.m.
dx.a.	3600	in	ns	n.k.l.m.
dx.a.	3600	in	ns	o.k.l.m.
dx.a.	3600	in	ns	p.k.l.m.
dx.a.	3600	in	ns	q.r.s.
dx.a.	3600	in	ns	t.r.s.
dx.a.	3600	in	ns	u.r.s.
dx.a.	3600	in	ns	v.r.s.
dy.a.	3600	in	ns	j.k.l.m.
dy.a.	3600	in	ns	n.k.l.m.
dy.a.	3600	in	ns	o.k.l.m.
dy.a.	3600	in	ns	p.k.l.m.
dy.a.	3600	in	ns	q.r.s.
dy.a.	3600	in	ns	t.r.s.
dy.a.	3600	in	ns	u.r.s.
dy.a.	3600	in	ns	v.r.s.
dz.a.	3600	in	ns	j.k.l.m.
dz.a.	3600	in	ns	n.k.l.m.
dz.a.	3600	in	ns	o.k.l.m.
dz.a.	3600	in	ns	p.k.l.m.
dz.a.	3600	in	ns	q.r.s.
dz.a.	3600	in	ns	t.r.s.
dz.a.	3600	in	ns	u.r.s.
dz.a.	3600	in	ns	v.r.s.
ea.a.	3600	in	ns	j.k.l.m.
ea.a.	3600	in	ns	n.k.l.m.
ea.a.	3600	in	ns	o.k.l.m.
ea.a.	3600	in	ns	p.k.l.m.
ea.a.	3600	in	ns	q.r.s.
ea.a.	3600	in	ns	t.r.s.
ea.a.	3600	in	ns	u.r.s.
ea.a.	3600	in	ns	v.r.s.
eb.a.	3600	in	ns	j.k.l.m.
eb.a.	3600	in	ns	n.k.l.m.
eb.a.	3600	in	ns	o.k.l.m.
eb.a.	3600	in	ns	p.k.l.m.
eb.a.	3600	in	ns	q.r.s.
eb.a.	3600	in	ns	t.r.s.
eb.a.	3600	in	ns	u.r.s.
eb.a.	3600	in	ns	v.r.s.
ec.a.	3600	in	ns	j.k.l.m.
ec.a.	3600	in	ns	n.k.l.m.
ec.a.	3600	in	ns	o.k.l.m.
ec.a.	3600	in	ns	p.k.l.m.
ec.a.	3600	in	ns	q.r.s.
ec.a.	3600	in	ns	t.r.s.
ec.a.	3600	in	ns	u.r.s.
ec.a.	3600	in	ns	v.r.s.
ed.a.	3600	in	ns	j.k.l.m.
ed.a.	3600	in	ns	n.k.l.m.
ed.a.	3600	in	ns	o.k.l.m.
ed.a.	3600	in	ns	p.k.l.m.
ed.a.	3600	in	ns	q.r.s.
ed.a.	3600	in	ns	t.r.s.
ed.a.	3600	in	ns	u.r.s.
ed.a.	3600	in	ns	v.r.s.
ee.a.	3600	in	ns	j.k.l.m.
ee.a.	3600	in	ns	n.k.l.m.
ee.a.	3600	in	ns	o.k.l.m.
ee.a.	3600	in	ns	p.k.l.m.
ee.a.	3600	in	ns	q.r.s.
ee.a.	3600	in	ns	t.r.s.
ee.a.	3600	in	ns	u.r.s.
ee.a.	3600	in	ns	v.r.s.
ef.d.a.	86400	in	a	204.74.106.90
ef.d.a.	86400	in	aaaa	2610:00a1:325a:0000:0000:0000:0000:0053
eg.a.	3600	in	ns	j.k.l.m.
eg.a.	3600	in	ns	n.k.l.m.
eg.a.	3600	in	ns	o.k.l.m.
eg.a.	3600	in	ns	p.k.l.m.
eg.a.	3600	in	ns	q.r.s.
eg.a.	3600	in	ns	t.r.s.
eg.a.	3600	in	ns	u.r.s.
eg.a.	3600	in	ns	v.r.s.
d.a.	7200	in	ns	b.c.d.a.
d.a.	7200	in	ns	dd.c.d.a.
d.a.	7200	in	ns	bo.c.d.a.
d.a.	7200	in	ns	eh.c.d.a.
d.a.	7200	in	ns	bp.c.d.a.
d.a.	7200	in	ns	ei.c.d.a.
b.c.d.a.	7200	in	a	156.154.144.89
b.c.d.a.	7200	in	aaaa	2610:00a1:1071:0000:0000:0000:0000:0059
dd.c.d.a.	7200	in	a	156.154.145.89
dd.c.d.a.	7200	in	aaaa	2610:00a1:1072:0000:0000:0000:0000:0059
bo.c.d.a.	7200	in	a	156.154.159.89
bo.c.d.a.	7200	in	aaaa	2610:00a1:1073:0000:0000:0000:0000:0059
eh.c.d.a.	7200	in	a	156.154.156.89
eh.c.d.a.	7200	in	aaaa	2610:00a1:1074:0000:0000:0000:0000:0059
bp.c.d.a.	7200	in	a	156.154.157.89
bp.c.d.a.	7200	in	aaaa	2610:00a1:1075:0000:0000:0000:0000:0059
ei.c.d.a.	7200	in	a	156.154.158.89
ei.c.d.a.	7200	in	aaaa	2610:00a1:1076:0000:0000:0000:0000:0059
ej.a.	3600	in	ns	j.k.l.m.
ej.a.	3600	in	ns	n.k.l.m.
ej.a.	3600	in	ns	o.k.l.m.
ej.a.	3600	in	ns	p.k.l.m.
ej.a.	3600	in	ns	q.r.s.
ej.a.	3600	in	ns	t.r.s.
ej.a.	3600	in	ns	u.r.s.
ej.a.	3600	in	ns	v.r.s.
ek.a.	3600	in	ns	j.k.l.m.
ek.a.	3600	in	ns	n.k.l.m.
ek.a.	3600	in	ns	o.k.l.m.
ek.a.	3600	in	ns	p.k.l.m.
ek.a.	3600	in	ns	q.r.s.
ek.a.	3600	in	ns	t.r.s.
ek.a.	3600	in	ns	u.r.s.
ek.a.	3600	in	ns	v.r.s.
el.a.	3600	in	ns	j.k.l.m.
el.a.	3600	in	ns	n.k.l.m.
el.a.	3600	in	ns	o.k.l.m.
el.a.	3600	in	ns	p.k.l.m.
el.a.	3600	in	ns	q.r.s.
el.a.	3600	in	ns	t.r.s.
el.a.	3600	in	ns	u.r.s.
el.a.	3600	in	ns	v.r.s.
em.a.	3600	in	ns	j.k.l.m.
em.a.	3600	in	ns	n.k.l.m.
em.a.	3600	in	ns	o.k.l.m.
em.a.	3600	in	ns	p.k.l.m.
em.a.	3600	in	ns	q.r.s.
em.a.	3600	in	ns	t.r.s.
em.a.	3600	in	ns	u.r.s.
em.a.	3600	in	ns	v.r.s.
en.a.	3600	in	ns	j.k.l.m.
en.a.	3600	in	ns	n.k.l.m.
en.a.	3600	in	ns	o.k.l.m.
en.a.	3600	in	ns	p.k.l.m.
en.a.	3600	in	ns	q.r.s.
en.a.	3600	in	ns	t.r.s.
en.a.	3600	in	ns	u.r.s.
en.a.	3600	in	ns	v.r.s.
eo.a.	3600	in	ns	j.k.l.m.
eo.a.	3600	in	ns	n.k.l.m.
eo.a.	3600	in	ns	o.k.l.m.
eo.a.	3600	in	ns	p.k.l.m.
eo.a.	3600	in	ns	q.r.s.
eo.a.	3600	in	ns	t.r.s.
eo.a.	3600	in	ns	u.r.s.
eo.a.	3600	in	ns	v.r.s.
ep.a.	3600	in	ns	j.k.l.m.
ep.a.	3600	in	ns	n.k.l.m.
ep.a.	3600	in	ns	o.k.l.m.
ep.a.	3600	in	ns	p.k.l.m.
ep.a.	3600	in	ns	q.r.s.
ep.a.	3600	in	ns	t.r.s.
ep.a.	3600	in	ns	u.r.s.
ep.a.	3600	in	ns	v.r.s.
eq.a.	3600	in	ns	j.k.l.m.
eq.a.	3600	in	ns	n.k.l.m.
eq.a.	3600	in	ns	o.k.l.m.
eq.a.	3600	in	ns	p.k.l.m.
eq.a.	3600	in	ns	q.r.s.
eq.a.	3600	in	ns	t.r.s.
eq.a.	3600	in	ns	u.r.s.
eq.a.	3600	in	ns	v.r.s.
er.a.	3600	in	ns	j.k.l.m.
er.a.	3600	in	ns	n.k.l.m.
er.a.	3600	in	ns	o.k.l.m.
er.a.	3600	in	ns	p.k.l.m.
er.a.	3600	in	ns	q.r.s.
er.a.	3600	in	ns	t.r.s.
er.a.	3600	in	ns	u.r.s.
er.a.	3600	in	ns	v.r.s.
es.a.	3600	in	ns	j.k.l.m.
es.a.	3600	in	ns	n.k.l.m.
es.a.	3600	in	ns	o.k.l.m.
es.a.	3600	in	ns	p.k.l.m.
es.a.	3600	in	ns	q.r.s.
es.a.	3600	in	ns	t.r.s.
es.a.	3600	in	ns	u.r.s.
es.a.	3600	in	ns	v.r.s.
et.a.	3600	in	ns	j.k.l.m.
et.a.	3600	in	ns	n.k.l.m.
et.a.	3600	in	ns	o.k.l.m.
et.a.	3600	in	ns	p.k.l.m.
et.a.	3600	in	ns	q.r.s.
et.a.	3600	in	ns	t.r.s.
et.a.	3600	in	ns	u.r.s.
et.a.	3600	in	ns	v.r.s.
eu.a.	3600	in	ns	j.k.l.m.
eu.a.	3600	in	ns	n.k.l.m.
eu.a.	3600	in	ns	o.k.l.m.
eu.a.	3600	in	ns	p.k.l.m.
eu.a.	3600	in	ns	q.r.s.
eu.a.	3600	in	ns	t.r.s.
eu.a.	3600	in	ns	u.r.s.
eu.a.	3600	in	ns	v.r.s.
ev.a.	3600	in	ns	j.k.l.m.
ev.a.	3600	in	ns	n.k.l.m.
ev.a.	3600	in	ns	o.k.l.m.
ev.a.	3600	in	ns	p.k.l.m.
ev.a.	3600	in	ns	q.r.s.
ev.a.	3600	in	ns	t.r.s.
ev.a.	3600	in	ns	u.r.s.
ev.a.	3600	in	ns	v.r.s.
ew.a.	3600	in	ns	j.k.l.m.
ew.a.	3600	in	ns	n.k.l.m.
ew.a.	3600	in	ns	o.k.l.m.
ew.a.	3600	in	ns	p.k.l.m.
ew.a.	3600	in	ns	q.r.s.
ew.a.	3600	in	ns	t.r.s.
ew.a.	3600	in	ns	u.r.s.
ew.a.	3600	in	ns	v.r.s.
ex.a.	3600	in	ns	j.k.l.m.
ex.a.	3600	in	ns	n.k.l.m.
ex.a.	3600	in	ns	o.k.l.m.
ex.a.	3600	in	ns	p.k.l.m.
ex.a.	3600	in	ns	q.r.s.
ex.a.	3600	in	ns	t.r.s.
ex.a.	3600	in	ns	u.r.s.
ex.a.	3600	in	ns	v.r.s.
ey.a.	3600	in	ns	j.k.l.m.
ey.a.	3600	in	ns	n.k.l.m.
ey.a.	3600	in	ns	o.k.l.m.
ey.a.	3600	in	ns	p.k.l.m.
ey.a.	3600	in	ns	q.r.s.
ey.a.	3600	in	ns	t.r.s.
ey.a.	3600	in	ns	u.r.s.
ey.a.	3600	in	ns	v.r.s.
ez.a.	3600	in	ns	j.k.l.m.
ez.a.	3600	in	ns	n.k.l.m.
ez.a.	3600	in	ns	o.k.l.m.
ez.a.	3600	in	ns	p.k.l.m.
ez.a.	3600	in	ns	q.r.s.
ez.a.	3600	in	ns	t.r.s.
ez.a.	3600	in	ns	u.r.s.
ez.a.	3600	in	ns	v.r.s.
fa.a.	3600	in	ns	j.k.l.m.
fa.a.	3600	in	ns	n.k.l.m.
fa.a.	3600	in	ns	o.k.l.m.
fa.a.	3600	in	ns	p.k.l.m.
fa.a.	3600	in	ns	q.r.s.
fa.a.	3600	in	ns	t.r.s.
fa.a.	3600	in	ns	u.r.s.
fa.a.	3600	in	ns	v.r.s.
fb.a.	3600	in	ns	j.k.l.m.
fb.a.	3600	in	ns	n.k.l.m.
fb.a.	3600	in	ns	o.k.l.m.
fb.a.	3600	in	ns	p.k.l.m.
fb.a.	3600	in	ns	q.r.s.
fb.a.	3600	in	ns	t.r.s.
fb.a.	3600	in	ns	u.r.s.
fb.a.	3600	in	ns	v.r.s.
fc.a.	3600	in	ns	j.k.l.m.
fc.a.	3600	in	ns	n.k.l.m.
fc.a.	3600	in	ns	o.k.l.m.
fc.a.	3600	in	ns	p.k.l.m.
fc.a.	3600	in	ns	q.r.s.
fc.a.	3600	in	ns	t.r.s.
fc.a.	3600	in	ns	u.r.s.
fc.a.	3600	in	ns	v.r.s.
fd.a.	3600	in	ns	j.k.l.m.
fd.a.	3600	in	ns	n.k.l.m.
fd.a.	3600	in	ns	o.k.l.m.
fd.a.	3600	in	ns	p.k.l.m.
fd.a.	3600	in	ns	q.r.s.
fd.a.	3600	in	ns	t.r.s.
fd.a.	3600	in	ns	u.r.s.
fd.a.	3600	in	ns	v.r.s.
fe.a.	3600	in	ns	j.k.l.m.
fe.a.	3600	in	ns	n.k.l.m.
fe.a.	3600	in	ns	o.k.l.m.
fe.a.	3600	in	ns	p.k.l.m.
fe.a.	3600	in	ns	q.r.s.
fe.a.	3600	in	ns	t.r.s.
fe.a.	3600	in	ns	u.r.s.
fe.a.	3600	in	ns	v.r.s.
ff.a.	3600	in	ns	j.k.l.m.
ff.a.	3600	in	ns	n.k.l.m.
ff.a.	3600	in	ns	o.k.l.m.
ff.a.	3600	in	ns	p.k.l.m.
ff.a.	3600	in	ns	q.r.s.
ff.a.	3600	in	ns	t.r.s.
ff.a.	3600	in	ns	u.r.s.
ff.a.	3600	in	ns	v.r.s.
fg.a.	3600	in	ns	j.k.l.m.
fg.a.	3600	in	ns	n.k.l.m.
fg.a.	3600	in	ns	o.k.l.m.
fg.a.	3600	in	ns	p.k.l.m.
fg.a.	3600	in	ns	q.r.s.
fg.a.	3600	in	ns	t.r.s.
fg.a.	3600	in	ns	u.r.s.
fg.a.	3600	in	ns	v.r.s.
fh.a.	3600	in	ns	j.k.l.m.
fh.a.	3600	in	ns	n.k.l.m.
fh.a.	3600	in	ns	o.k.l.m.
fh.a.	3600	in	ns	p.k.l.m.
fh.a.	3600	in	ns	q.r.s.
fh.a.	3600	in	ns	t.r.s.
fh.a.	3600	in	ns	u.r.s.
fh.a.	3600	in	ns	v.r.s.
fi.a.	3600	in	ns	j.k.l.m.
fi.a.	3600	in	ns	n.k.l.m.
fi.a.	3600	in	ns	o.k.l.m.
fi.a.	3600	in	ns	p.k.l.m.
fi.a.	3600	in	ns	q.r.s.
fi.a.	3600	in	ns	t.r.s.
fi.a.	3600	in	ns	u.r.s.
fi.a.	3600	in	ns	v.r.s.
fj.a.	3600	in	ns	j.k.l.m.
fj.a.	3600	in	ns	n.k.l.m.
fj.a.	3600	in	ns	o.k.l.m.
fj.a.	3600	in	ns	p.k.l.m.
fj.a.	3600	in	ns	q.r.s.
fj.a.	3600	in	ns	t.r.s.
fj.a.	3600	in	ns	u.r.s.
fj.a.	3600	in	ns	v.r.s.
fk.a.	3600	in	ns	j.k.l.m.
fk.a.	3600	in	ns	n.k.l.m.
fk.a.	3600	in	ns	o.k.l.m.
fk.a.	3600	in	ns	p.k.l.m.
fk.a.	3600	in	ns	q.r.s.
fk.a.	3600	in	ns	t.r.s.
fk.a.	3600	in	ns	u.r.s.
fk.a.	3600	in	ns	v.r.s.
fl.a.	3600	in	ns	j.k.l.m.
fl.a.	3600	in	ns	n.k.l.m.
fl.a.	3600	in	ns	o.k.l.m.
fl.a.	3600	in	ns	p.k.l.m.
fl.a.	3600	in	ns	q.r.s.
fl.a.	3600	in	ns	t.r.s.
fl.a.	3600	in	ns	u.r.s.
fl.a.	3600	in	ns	v.r.s.
fm.a.	3600	in	ns	j.k.l.m.
fm.a.	3600	in	ns	n.k.l.m.
fm.a.	3600	in	ns	o.k.l.m.
fm.a.	3600	in	ns	p.k.l.m.
fm.a.	3600	in	ns	q.r.s.
fm.a.	3600	in	ns	t.r.s.
fm.a.	3600	in	ns	u.r.s.
fm.a.	3600	in	ns	v.r.s.
fn.a.	3600	in	ns	j.k.l.m.
fn.a.	3600	in	ns	n.k.l.m.
fn.a.	3600	in	ns	o.k.l.m.
fn.a.	3600	in	ns	p.k.l.m.
fn.a.	3600	in	ns	q.r.s.
fn.a.	3600	in	ns	t.r.s.
fn.a.	3600	in	ns	u.r.s.
fn.a.	3600	in	ns	v.r.s.
fo.a.	3600	in	ns	j.k.l.m.
fo.a.	3600	in	ns	n.k.l.m.
fo.a.	3600	in	ns	o.k.l.m.
fo.a.	3600	in	ns	p.k.l.m.
fo.a.	3600	in	ns	q.r.s.
fo.a.	3600	in	ns	t.r.s.
fo.a.	3600	in	ns	u.r.s.
fo.a.	3600	in	ns	v.r.s.
fp.a.	3600	in	ns	j.k.l.m.
fp.a.	3600	in	ns	n.k.l.m.
fp.a.	3600	in	ns	o.k.l.m.
fp.a.	3600	in	ns	p.k.l.m.
fp.a.	3600	in	ns	q.r.s.
fp.a.	3600	in	ns	t.r.s.
fp.a.	3600	in	ns	u.r.s.
fp.a.	3600	in	ns	v.r.s.
fq.a.	3600	in	ns	j.k.l.m.
fq.a.	3600	in	ns	n.k.l.m.
fq.a.	3600	in	ns	o.k.l.m.
fq.a.	3600	in	ns	p.k.l.m.
fq.a.	3600	in	ns	q.r.s.
fq.a.	3600	in	ns	t.r.s.
fq.a.	3600	in	ns	u.r.s.
fq.a.	3600	in	ns	v.r.s.
fr.a.	3600	in	ns	j.k.l.m.
fr.a.	3600	in	ns	n.k.l.m.
fr.a.	3600	in	ns	o.k.l.m.
fr.a.	3600	in	ns	p.k.l.m.
fr.a.	3600	in	ns	q.r.s.
fr.a.	3600	in	ns	t.r.s.
fr.a.	3600	in	ns	u.r.s.
fr.a.	3600	in	ns	v.r.s.
fs.a.	3600	in	ns	j.k.l.m.
fs.a.	3600	in	ns	n.k.l.m.
fs.a.	3600	in	ns	o.k.l.m.
fs.a.	3600	in	ns	p.k.l.m.
fs.a.	3600	in	ns	q.r.s.
fs.a.	3600	in	ns	t.r.s.
fs.a.	3600	in	ns	u.r.s.
fs.a.	3600	in	ns	v.r.s.
ft.a.	3600	in	ns	j.k.l.m.
ft.a.	3600	in	ns	n.k.l.m.
ft.a.	3600	in	ns	o.k.l.m.
ft.a.	3600	in	ns	p.k.l.m.
ft.a.	3600	in	ns	q.r.s.
ft.a.	3600	in	ns	t.r.s.
ft.a.	3600	in	ns	u.r.s.
ft.a.	3600	in	ns	v.r.s.
fu.a.	3600	in	ns	j.k.l.m.
fu.a.	3600	in	ns	n.k.l.m.
fu.a.	3600	in	ns	o.k.l.m.
fu.a.	3600	in	ns	p.k.l.m.
fu.a.	3600	in	ns	q.r.s.
fu.a.	3600	in	ns	t.r.s.
fu.a.	3600	in	ns	u.r.s.
fu.a.	3600	in	ns	v.r.s.
fv.a.	3600	in	ns	j.k.l.m.
fv.a.	3600	in	ns	n.k.l.m.
fv.a.	3600	in	ns	o.k.l.m.
fv.a.	3600	in	ns	p.k.l.m.
fv.a.	3600	in	ns	q.r.s.
fv.a.	3600	in	ns	t.r.s.
fv.a.	3600	in	ns	u.r.s.
fv.a.	3600	in	ns	v.r.s.
fw.a.	3600	in	ns	j.k.l.m.
fw.a.	3600	in	ns	n.k.l.m.
fw.a.	3600	in	ns	o.k.l.m.
fw.a.	3600	in	ns	p.k.l.m.
fw.a.	3600	in	ns	q.r.s.
fw.a.	3600	in	ns	t.r.s.
fw.a.	3600	in	ns	u.r.s.
fw.a.	3600	in	ns	v.r.s.
fx.a.	3600	in	ns	j.k.l.m.
fx.a.	3600	in	ns	n.k.l.m.
fx.a.	3600	in	ns	o.k.l.m.
fx.a.	3600	in	ns	p.k.l.m.
fx.a.	3600	in	ns	q.r.s.
fx.a.	3600	in	ns	t.r.s.
fx.a.	3600	in	ns	u.r.s.
fx.a.	3600	in	ns	v.r.s.
